system,case_id,finding_id,obligation_id,referee_outcome,on_candidate,on_reference,grader_label,false_accusation,title
baseline_agent,http_range_resolve__t20,F-02,-,upheld,fail,pass,sound,0,Ticket specifies first/last/suffix must be 'one or more ASCII digits'; fullwidth Unicode digit characters (e.g. U+FF19 '９' for '9') are not ASCII digits and a s
baseline_agent,http_range_resolve__t21,F-01,-,upheld,fail,pass,sound,0,Ticket's Parsing section requires first/last/suffix to be 'one or more ASCII digits'; Arabic-Indic digit characters are non-ASCII but pass Python's str.isdigit(
baseline_agent,http_range_resolve__t21,F-02,-,upheld,fail,pass,sound,0,"The ticket says a header that doesn't fit the grammar must be ignored entirely and the whole representation served, and must not raise; the implementation crash"
baseline_agent,http_range_resolve__t40,F-01,-,upheld,fail,pass,sound,0,Ticket requires first/last/suffix to be ASCII digits; anything not fitting the grammar (including non-ASCII digit-like characters) must be ignored entirely and 
baseline_agent,http_range_resolve__t40,F-02,-,upheld,fail,pass,sound,0,Ticket specifies first/last/suffix must be 'one or more ASCII digits'; fullwidth Unicode digit characters (e.g. U+FF19 '９' for '9') are not ASCII digits and a s
baseline_agent,http_range_resolve__v0,F-01,-,upheld,fail,pass,sound,0,Falsifies the ticket's grammar requirement that first/last/suffix be 'one or more ASCII digits'; the implementation's `\d+` regex (without re.ASCII) matches non
baseline_agent,http_range_resolve__v1,F-01,-,upheld,fail,pass,sound,0,"Ticket requires 'first, last and suffix are one or more ASCII digits'; non-ASCII Unicode digits should make the spec malformed and fall back to the whole repres"
baseline_agent,http_range_resolve__v1,F-02,-,upheld,fail,fail,unsound,1,Ticket: 'No whitespace is allowed around the `=` ... so `bytes = 0-1` ... [is] not valid.' A space immediately after '=' must make the header malformed (whole r
baseline_agent,http_range_resolve__v2,F-01,-,upheld,fail,fail,unsound,1,Falsifies the ticket's syntax rule that no whitespace is allowed around the '=' sign; 'bytes= 0-0' must be treated as malformed (whole object returned) but impl
baseline_agent,keyset_paginate__t20,F-01,-,upheld,fail,pass,sound,0,"Ticket requires well-formed cursors to consist of ASCII digits only ('a non-empty run of ASCII digits, a single :, and another non-empty run of ASCII digits'); "
baseline_direct,allocate_money__t21,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the exact worked example in the ticket: allocate(10, [1,2,4]) must equal [1,3,6] via floors [1,2,5] plus the two largest remainders (indices 1 and 2)."
baseline_direct,allocate_money__t21,F-02,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's sign rule that allocate(-t, weights) must equal [-x for x in allocate(t, weights)] (e.g. [-3,-2] for allocate(-5,[1,1])), not the result "
baseline_direct,allocate_money__t21,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket rule that a weight of 0 always yields an exact claim and remainder of 0, so that payee must never receive a leftover unit even when it sits"
baseline_direct,allocate_money__t21,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's tie-break rule ('the earlier index takes the unit') when more than two payees carry exactly the same remainder simultaneously, requiring "
baseline_direct,allocate_money__t21,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's error requirements: empty weights, any negative weight, or all-zero weights must raise ValueError, and this validation must happen before"
baseline_direct,allocate_money__t21,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's core invariant that sum(allocate(total_cents, weights)) == total_cents for every accepted input, and that the input weights list is never"
baseline_direct,allocate_money__v0,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the two exact worked examples the ticket specifies (allocate(10,[1,2,4]) and the [1,1,1] tie case) if the floor/remainder/leftover math is implemented"
baseline_direct,allocate_money__v0,F-02,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's explicit warning that negative totals must equal the negation of the positive allocation (not signed floor division), including the concr"
baseline_direct,allocate_money__v0,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the absolute conservation rule (sum(allocate(total, weights)) == total) across randomized positive, negative, and zero totals and weight combinations."
baseline_direct,allocate_money__v0,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the required ValueError behaviour for empty weights, any negative weight, and all-zero weights, and confirms validation happens for every total_cents "
baseline_direct,allocate_money__v0,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the tie-break rule requiring identical remainders to hand out leftover units to the lowest indices first, using a multi-unit-leftover tie scenario."
baseline_direct,allocate_money__v0,F-06,-,upheld,pass,pass,not_a_counterexample,0,Falsifies the ticket's requirement that the input weights list is not mutated and a new list is returned.
baseline_direct,allocate_money__v1,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's central invariant that sum(allocate(total, weights)) == total for any accepted total_cents/weights, including negative totals and zero-we"
baseline_direct,allocate_money__v1,F-02,-,upheld,pass,pass,not_a_counterexample,0,"Checks the ticket's fully worked example allocate(10, [1, 2, 4]) == [1, 3, 6], verifying floor computation and largest-remainder assignment together."
baseline_direct,allocate_money__v1,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Checks the ticket's explicit tie-break example allocate(100, [1, 1, 1]) == [34, 33, 33], falsifying an implementation that breaks ties by highest index, weight "
baseline_direct,allocate_money__v1,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's required identity allocate(-t, weights) == [-x for x in allocate(t, weights)], catching implementations that use signed floor division (e"
baseline_direct,allocate_money__v1,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies implementations that skip weight validation for empty, negative, or all-zero weights lists, particularly when total_cents is 0 and an unvalidated shor"
baseline_direct,allocate_money__v1,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies implementations that mutate the caller's weights list in place, or that let a zero-weight payee receive a leftover unit despite having an exact claim "
baseline_direct,csv_rfc4180__t20,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Verifies the exact worked example from the ticket (mixed empty field, comma-triggered quoting, empty trailing record) matches byte-for-byte."
baseline_direct,csv_rfc4180__t20,F-02,-,upheld,pass,pass,not_a_counterexample,0,"A zero-field record must be written rather than rejected, producing just a CRLF (an empty line), per the ticket's explicit carve-out from the RFC's record gramm"
baseline_direct,csv_rfc4180__t20,F-03,-,upheld,pass,pass,not_a_counterexample,0,"A lone CR or lone LF (without its counterpart) must force quoting exactly like a full CRLF, and must be preserved as-is rather than normalized."
baseline_direct,csv_rfc4180__t20,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Non-str field values (int, bool, None, bytes) must raise TypeError whose message names the actual offending Python type rather than stringifying the value."
baseline_direct,csv_rfc4180__t20,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Clause 4's equal-field-count rule is explicitly not enforced; records with differing field counts (including a short trailer) must be emitted exactly as given, "
baseline_direct,csv_rfc4180__t20,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Spaces are ordinary content per clause 4 and must never be trimmed nor treated as a quoting trigger, even for a field consisting entirely of spaces."
baseline_direct,csv_rfc4180__v0,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Regression test for the ticket's worked example, exercising quoting, comma-in-field, embedded quote doubling, space preservation, empty field, and zero-field re"
baseline_direct,csv_rfc4180__v0,F-02,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires TypeError for any non-str field with the offending Python type named in the message, across int, None, bool, bytes, and float."
baseline_direct,csv_rfc4180__v0,F-03,-,upheld,pass,pass,not_a_counterexample,0,The ticket states write_csv is pure and must not mutate rows or any record in it.
baseline_direct,csv_rfc4180__v0,F-04,-,upheld,pass,pass,not_a_counterexample,0,"A lone CR or lone LF must trigger quoting (TEXTDATA excludes CR/LF) and must be preserved exactly, not normalized into a full CRLF."
baseline_direct,csv_rfc4180__v0,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Spaces (leading, trailing, interior, all-space) and non-triggering characters like tab, semicolon, '#', and non-ASCII must be written through unquoted and untri"
baseline_direct,csv_rfc4180__v0,F-06,-,upheld,pass,pass,not_a_counterexample,0,The writer must not enforce equal field counts across records and must render a zero-field record as a bare CRLF line.
baseline_direct,csv_rfc4180__v1,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's worked example: quoting of embedded double quotes and commas, unquoted space-padded field, empty trailing field, and zero-field trailer r"
baseline_direct,csv_rfc4180__v1,F-02,-,upheld,pass,pass,not_a_counterexample,0,"Ticket requires TypeError for any non-str field with the offending Python type name appearing in the message (int, None, bytes, bool must each be rejected, not "
baseline_direct,csv_rfc4180__v1,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Ticket mandates spaces are ordinary data written verbatim and unquoted, including leading, trailing, interior, and all-space fields; trimming or unnecessary quo"
baseline_direct,csv_rfc4180__v1,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Ticket requires a bare \r or bare \n (not just full CRLF) to force quoting, and the character must be preserved exactly rather than normalized into \r\n."
baseline_direct,csv_rfc4180__v1,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Ticket distinguishes an entirely empty rows list (must return """") from a single zero-field record (must return just ""\r\n""); conflating them would violate the e"
baseline_direct,csv_rfc4180__v1,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Ticket requires write_csv to be pure and must not mutate rows or any record within it, so the caller's original lists must be byte-for-byte identical after the "
baseline_direct,currency_quantize__t24,F-01,-,upheld,fail,pass,sound,0,"The ticket requires 'no bound on magnitude', but the implementation quantizes under the default decimal.Context (28-digit precision), so a 40-digit amount overf"
baseline_direct,currency_quantize__t24,F-02,-,upheld,fail,pass,sound,0,"The precision-overflow bug also applies on the exponent==0 code path (JPY-style currencies with no minor unit), which the ticket explicitly calls out as needing"
baseline_direct,currency_quantize__t24,F-03,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires the currency lookup to happen before touching the amount, so an unknown code paired with an unparseable amount must surface as KeyError, nev"
baseline_direct,currency_quantize__t24,F-04,-,upheld,pass,pass,not_a_counterexample,0,"The ticket's explicit examples require negative amounts that round to zero to print unsigned zero ('-0.004' USD -> '0.00', '-0.4' JPY -> '0'), never a negative-"
baseline_direct,currency_quantize__t24,F-05,-,upheld,pass,pass,not_a_counterexample,0,"CLF is quoted in ten-thousandths per the ticket; a halfway case at the 4th decimal must round to even, not just naively truncate or round half up, and scientifi"
baseline_direct,currency_quantize__t24,F-06,-,upheld,pass,pass,not_a_counterexample,0,"The ticket explicitly lists 'sNaN' among non-finite inputs that must raise ValueError, not propagate as a raw decimal.InvalidOperation from a later operation."
baseline_direct,currency_quantize__v11,F-01,-,upheld,fail,pass,sound,0,"The ticket states 'There is no bound on magnitude,' but the implementation calls Decimal.quantize() under Python's default 28-significant-digit context, which r"
baseline_direct,currency_quantize__v11,F-02,-,upheld,fail,pass,sound,0,"A large-magnitude, signed, fractional amount (well beyond 28 significant digits) must still be quantized and formatted per 'no bound on magnitude', but quantize"
baseline_direct,currency_quantize__v11,F-03,-,upheld,pass,pass,not_a_counterexample,0,"The ticket explicitly lists 'sNaN' as a value that parses as Decimal but is not finite and must raise ValueError, not let decimal.InvalidOperation escape."
baseline_direct,currency_quantize__v11,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Every row of the ticket's worked rounding table must hold exactly, verifying half-even tie-breaking across multiple exponents (0, 2, 3) computed from the decima"
baseline_direct,currency_quantize__v11,F-05,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires checking currency membership before validating the amount, so an unknown currency paired with an unparsable amount must raise KeyError rathe"
baseline_direct,currency_quantize__v11,F-06,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires that a negative amount which rounds to zero must normalise to a signless zero string, e.g. '-0.004' USD is '0.00' and '-0.4' JPY is '0'."
baseline_direct,currency_quantize__v12,F-01,-,upheld,fail,pass,sound,0,"The ticket states there is no bound on magnitude, but Decimal.quantize() raises decimal.InvalidOperation when the result would need more significant digits than"
baseline_direct,currency_quantize__v12,F-02,-,upheld,fail,pass,sound,0,"For a zero-exponent currency, an arbitrarily large amount (1E+30) should format as the plain integer with no decimal point, but the underlying quantize() call e"
baseline_direct,currency_quantize__v12,F-03,-,upheld,fail,pass,sound,0,"A half-even tie ('...2.675' -> '...2.68') must still round correctly even when the integer part is huge, but quantize()'s precision-limited coefficient causes I"
baseline_direct,currency_quantize__v12,F-04,-,upheld,fail,pass,sound,0,"Negative amounts must keep their sign symmetrically regardless of magnitude, but the quantize() precision limit crashes before the sign-preserving formatting lo"
baseline_direct,discount_stacking__t20,F-01,-,upheld,fail,fail,unsound,1,"The ticket says each discount element is 'a mapping', but the implementation checks isinstance(discount, dict), so a valid non-dict Mapping (e.g. a class implem"
baseline_direct,discount_stacking__t20,F-02,-,upheld,pass,pass,not_a_counterexample,0,The ticket's core requirement is that percentages compound in caller order rather than being summed; this checks both worked examples from the ticket and explic
baseline_direct,discount_stacking__t20,F-03,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires the offending string to appear verbatim in the ValueError message for malformed subtotal input (e.g. containing a thousands separator), so l"
baseline_direct,discount_stacking__t20,F-04,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires that an amount discount larger than the remaining total clamps to 0.00, with the excess unused and subsequent discounts leaving it at 0.00."
baseline_direct,discount_stacking__t20,F-05,-,upheld,pass,pass,not_a_counterexample,0,"The ticket states each discount entry is validated when the walk reaches it regardless of whether the running total is already 0.00, so a later invalid entry mu"
baseline_direct,discount_stacking__t20,F-06,-,upheld,pass,pass,not_a_counterexample,0,The ticket specifies that a percent value of exactly 100 is valid (zeroing the total) while anything greater than 100 must raise ValueError.
baseline_direct,discount_stacking__v0,F-01,-,upheld,fail,pass,sound,0,"The money grammar forbids whitespace, but the implementation's regex ends in `$` (not anchored to true end-of-string) and Decimal() strips whitespace, so a subt"
baseline_direct,discount_stacking__v0,F-02,-,upheld,fail,pass,sound,0,"The same unanchored-regex flaw applies to discount 'value' strings, so a percent value like ""20\n"" is wrongly accepted instead of raising ValueError for malform"
baseline_direct,discount_stacking__v0,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Ticket's core bug fix: stacked 20% and 10% on 100.00 must compound to 72.00 (matching the storefront), not be summed into a single 30% cut yielding 70.00."
baseline_direct,discount_stacking__v0,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Ticket's worked example: the same three discounts applied in a different order must produce a different total (67.50 vs 68.40), proving each step operates on th"
baseline_direct,discount_stacking__v0,F-05,-,upheld,pass,pass,not_a_counterexample,0,Ticket requires validation to be unconditional: a percent value of 150 later in the list must raise ValueError even though an earlier amount discount already cl
baseline_direct,discount_stacking__v0,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Ticket explicitly states ROUND_HALF_EVEN examples: 5.025 must round to 5.02 (even) and 5.075 must round to 5.08 (up to even), applied even to the initial subtot"
baseline_direct,discount_stacking__v10,F-01,-,upheld,fail,pass,sound,0,"The grammar in the ticket forbids whitespace, but the regex used for validation (`^-?\d+(?:\.\d+)?$`) lets `$` match just before a trailing newline, so a subtot"
baseline_direct,discount_stacking__v10,F-02,-,upheld,fail,pass,sound,0,"The same regex loophole applies to discount 'value' strings, so a value like '5.00\n' is wrongly accepted instead of raising ValueError for malformed input."
baseline_direct,discount_stacking__v10,F-03,-,upheld,fail,fail,unsound,1,"The ticket says a discount element is invalid only if it 'is not a mapping', but the implementation uses isinstance(discount, dict), so a legitimate non-dict Ma"
baseline_direct,discount_stacking__v10,F-04,-,upheld,fail,pass,sound,0,"The grammar places no limit on the number of digits in subtotal, but quantize() runs under the default decimal context (28-digit precision) with InvalidOperatio"
baseline_direct,discount_stacking__v10,F-05,-,upheld,pass,pass,not_a_counterexample,0,"The ticket's second worked example (5.00 off, then 20%, then 10% on a 100.00 line) must compound in order to 95.00 -> 76.00 -> 68.40; any regression in the comp"
baseline_direct,discount_stacking__v10,F-06,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires validation to be unconditional, raising even after the running total has already been clamped to 0.00 and the discount would have no effect;"
baseline_direct,discount_stacking__v11,F-01,-,upheld,fail,pass,sound,0,"Ticket rule: 'The sign of zero is not significant... never ""-0.00""'; subtotal='-0.00' passes the negativity check (since -0 is not < 0) and quantize preserves t"
baseline_direct,discount_stacking__v11,F-02,-,upheld,fail,pass,sound,0,"The grammar allows no whitespace, but the regex uses '$' (which in Python matches just before a trailing \n) instead of '\Z', and decimal.Decimal itself tolerat"
baseline_direct,discount_stacking__v11,F-03,-,upheld,fail,pass,sound,0,"The same '$'-vs-'\Z' regex flaw applies to discount 'value' validation, so a percent value of ""20\n"" is wrongly accepted as valid instead of raising ValueError "
baseline_direct,discount_stacking__v11,F-04,-,upheld,fail,fail,unsound,1,"Ticket says raise only when 'an element of discounts is not a mapping', but the implementation checks isinstance(discount, dict), which wrongly rejects legitima"
baseline_direct,discount_stacking__v11,F-05,-,upheld,pass,pass,not_a_counterexample,0,"Directly checks the ticket's second worked example (5.00 off, then 20%, then 10% => 95.00 -> 76.00 -> 68.40) to catch any compounding-order or intermediate-roun"
baseline_direct,discount_stacking__v11,F-06,-,upheld,pass,pass,not_a_counterexample,0,Ticket mandates validation is unconditional even after the running total has already been clamped to 0.00; a discount stack that clamps first and then supplies 
baseline_direct,discount_stacking__v12,F-01,-,upheld,fail,pass,sound,0,"Ticket rule: 'The sign of zero is not significant... zero is returned as ""0.00"", never ""-0.00""' — a subtotal of ""-0.00"" or ""-0"" represents zero (not a negative "
baseline_direct,discount_stacking__v12,F-02,-,upheld,fail,pass,sound,0,"The grammar only allows the digits 0-9, but the implementation's validator uses str.isdigit(), which returns True for characters like the superscript '²' that d"
baseline_direct,discount_stacking__v12,F-03,-,upheld,fail,pass,sound,0,"Same isdigit()-vs-Decimal mismatch applies to the subtotal field: '²' passes the hand-rolled grammar check but Decimal('²') raises decimal.InvalidOperation, so "
baseline_direct,discount_stacking__v12,F-04,-,upheld,fail,fail,unsound,1,"Ticket says a discounts element must raise only if it 'is not a mapping'; the implementation instead requires isinstance(discount, dict), so a valid read-only M"
baseline_direct,full_jitter_backoff__t20,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's own worked example (base=0.2, cap=5.0, attempts=6, rand=u/2 giving [0.1,0.2,0.4,0.8,1.6,2.5]) which pins down ceiling doubling, clamping,"
baseline_direct,full_jitter_backoff__t20,F-02,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket rule that when cap <= base every ceiling, including attempt 0's, must equal cap rather than starting from base."
baseline_direct,full_jitter_backoff__t20,F-03,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the required validation order (attempts, then base, then cap) and the requirement that each error message names the offending parameter."
baseline_direct,full_jitter_backoff__t20,F-04,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the explicit requirement that NaN and infinite base/cap raise ValueError, since NaN silently passes a naive `<= 0` check."
baseline_direct,full_jitter_backoff__t20,F-05,-,upheld,pass,pass,not_a_counterexample,0,Falsifies both the requirement that attempts==0 yields [] without error and the requirement that base/cap are validated unconditionally (an implementation that 
baseline_direct,full_jitter_backoff__t20,F-06,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the requirement that schedule(2000, 1.0, 30.0, rand) completes without raising and returns 2000 finite delays each within [0, cap], guarding against e"
baseline_direct,full_jitter_backoff__t22,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's own worked example: ceilings must run 0.2,0.4,0.8,1.6,3.2,5.0 (last clamped from 6.4) and rand must be called once per attempt with exact"
baseline_direct,full_jitter_backoff__t22,F-02,-,upheld,pass,pass,not_a_counterexample,0,"The ticket states a cap at or below base is legitimate and every ceiling, attempt 0 included, must equal cap; an implementation that only clamps after some warm"
baseline_direct,full_jitter_backoff__t22,F-03,-,upheld,pass,pass,not_a_counterexample,0,"The ticket explicitly requires attempts == 0 to yield an empty list and not raise, which an off-by-one or overly strict validation could get backwards."
baseline_direct,full_jitter_backoff__t22,F-04,-,upheld,pass,pass,not_a_counterexample,0,"The ticket mandates validating attempts first and naming the offending parameter, so a negative attempts count with also-invalid base/cap must still raise a mes"
baseline_direct,full_jitter_backoff__t22,F-05,-,upheld,pass,pass,not_a_counterexample,0,"The ticket requires base and cap to each be finite and strictly positive -- zero, negative, inf and especially nan must all raise ValueError naming the offendin"
baseline_direct,full_jitter_backoff__t22,F-06,-,upheld,pass,pass,not_a_counterexample,0,The ticket requires that a couple-thousand-attempt schedule never evaluates 2**i for huge i (avoiding overflow/huge ints) and that every returned delay stays fi
baseline_direct,full_jitter_backoff__t42,F-01,-,upheld,pass,pass,not_a_counterexample,0,"Falsifies the ticket's own worked example: ceilings must run 0.2,0.4,0.8,1.6,3.2,5.0 (last clamped from 6.4) and rand must be called once per attempt with exact"
