system,case_id,task_id,split,has_defect,trap_id,trap_class,detected,detected_lenient,false_alarm,tests_emitted,sound_counterexamples,unsound_claims,flakes,reported_verdict,llm_calls,input_tokens,output_tokens,usd,wall_ms,error
agent_plus_oracle,full_jitter_backoff__v11,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,8,18850,3046,0.102240,4,
agent_plus_oracle,full_jitter_backoff__v12,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(0, 1e-300, -1.0, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,1,1,0,1,1,0,0,CLEAN,6,12569,1144,0.054867,12,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__t20,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,2,2,0,0,CLEAN,8,19678,2377,0.094689,15,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__t21,http_range_resolve,test,0,,,1,1,1,2,2,0,0,CLEAN,7,15585,1752,0.073035,15,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__t40,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,2,2,0,0,CLEAN,6,13412,1707,0.065841,12,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__v0,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,1,1,0,0,CLEAN,9,28132,1686,0.109686,17,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__v1,http_range_resolve,test,0,,,0,1,1,2,1,1,0,CLEAN,6,16846,1256,0.069378,10,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,http_range_resolve__v2,http_range_resolve,test,0,,,0,0,1,1,0,1,0,CLEAN,7,20817,1849,0.090186,17,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,iso_week_date__t20,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,12,21974,3696,0.121362,4,
agent_plus_oracle,iso_week_date__v0,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,4,9468,1188,0.046224,4,
agent_plus_oracle,iso_week_date__v1,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,6,14664,2148,0.076212,4,
agent_plus_oracle,keyset_paginate__t20,keyset_paginate,test,0,,,1,1,1,1,1,0,0,CLEAN,7,12304,1384,0.057672,14,SchemaRepairFailed: oracle: model did not satisfy the schema after 3 attempts. Last error: no parsable JSON found in model output
agent_plus_oracle,rollout_bucketing__t20,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,8,15740,1822,0.074550,4,
agent_plus_oracle,rollout_bucketing__v0,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,8,19670,3110,0.105660,4,
agent_plus_oracle,rollout_bucketing__v1,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,8,19784,2886,0.102642,10,
agent_plus_oracle,token_bucket__t20,token_bucket,test,0,,,0,0,0,0,0,0,0,CLEAN,8,18888,3738,0.112734,4,
baseline_agent,allocate_money__t21,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,6,12894,1758,0.065052,14,
baseline_agent,allocate_money__v0,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,4,10534,1598,0.055572,8,
baseline_agent,allocate_money__v1,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,3,7766,851,0.036063,6,
baseline_agent,csv_rfc4180__t20,csv_rfc4180,test,0,,,0,0,0,1,0,0,0,DEFECT,6,12332,3135,0.084021,12,
baseline_agent,csv_rfc4180__v0,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,4,11852,1286,0.054846,8,
baseline_agent,csv_rfc4180__v1,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,3,8460,1270,0.044430,6,
baseline_agent,currency_quantize__t24,currency_quantize,test,0,,,1,1,1,1,1,0,0,DEFECT,5,10778,1578,0.056004,10,
baseline_agent,currency_quantize__v11,currency_quantize,test,0,,,1,1,1,1,1,0,0,DEFECT,6,16052,1859,0.076041,12,
baseline_agent,currency_quantize__v12,currency_quantize,test,0,,,0,0,1,1,0,1,0,DEFECT,6,15154,1859,0.073347,12,
baseline_agent,discount_stacking__t20,discount_stacking,test,0,,,0,1,1,3,2,1,0,DEFECT,2,5170,1413,0.036705,4,
baseline_agent,discount_stacking__v0,discount_stacking,test,0,,,0,0,0,1,0,0,0,DEFECT,6,20290,3156,0.108210,12,
baseline_agent,discount_stacking__v10,discount_stacking,test,0,,,1,1,1,1,1,0,0,DEFECT,5,16316,1922,0.077778,10,
baseline_agent,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,1,1,0,2,2,0,0,DEFECT,4,12861,1316,0.058323,8,
baseline_agent,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,1,0,2,1,1,0,DEFECT,6,21052,2121,0.094971,13,
baseline_agent,full_jitter_backoff__t20,full_jitter_backoff,test,0,,,0,0,0,1,0,0,0,DEFECT,6,11852,2244,0.069216,13,
baseline_agent,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,6,11854,1985,0.065337,12,
baseline_agent,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,6,11854,1985,0.065337,10,
baseline_agent,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,4,8354,1565,0.048537,8,
baseline_agent,full_jitter_backoff__v10,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,3,7762,1484,0.045546,6,
baseline_agent,full_jitter_backoff__v11,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,4,9425,1523,0.051120,9,
baseline_agent,full_jitter_backoff__v12,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(0, 1e-300, -1.0, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,1,1,0,1,1,0,0,DEFECT,3,7114,1093,0.037737,7,
baseline_agent,http_range_resolve__t20,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,2,2,0,0,DEFECT,5,14986,2326,0.079848,10,
baseline_agent,http_range_resolve__t21,http_range_resolve,test,0,,,1,1,1,2,2,0,0,DEFECT,4,10892,1701,0.058191,9,
baseline_agent,http_range_resolve__t40,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,2,2,0,0,DEFECT,3,8720,1656,0.051000,6,
baseline_agent,http_range_resolve__v0,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,1,1,0,0,DEFECT,6,20979,1635,0.087462,15,
baseline_agent,http_range_resolve__v1,http_range_resolve,test,0,,,0,1,1,2,1,1,0,DEFECT,3,9694,1205,0.047157,6,
baseline_agent,http_range_resolve__v2,http_range_resolve,test,0,,,0,0,1,1,0,1,0,DEFECT,4,13661,1798,0.067953,9,
baseline_agent,iso_week_date__t20,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,6,10987,1848,0.060681,12,
baseline_agent,iso_week_date__v0,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,2,4734,594,0.023112,4,
baseline_agent,iso_week_date__v1,iso_week_date,test,0,,,0,0,0,0,0,0,0,CLEAN,3,7332,1074,0.038106,7,
baseline_agent,keyset_paginate__t20,keyset_paginate,test,0,,,1,1,1,1,1,0,0,DEFECT,4,8313,1333,0.044934,9,
baseline_agent,rollout_bucketing__t20,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,4,7870,911,0.037275,10,
baseline_agent,rollout_bucketing__v0,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,4,9835,1555,0.052830,8,
baseline_agent,rollout_bucketing__v1,rollout_bucketing,test,0,,,0,0,0,0,0,0,0,CLEAN,4,9892,1443,0.051321,8,
baseline_agent,token_bucket__t20,token_bucket,test,0,,,0,0,0,0,0,0,0,CLEAN,4,9444,1869,0.056367,10,
baseline_direct,allocate_money__t21,allocate_money,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1647,1172,0.022521,40,
baseline_direct,allocate_money__v0,allocate_money,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2208,950,0.020874,38,
baseline_direct,allocate_money__v1,allocate_money,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2165,1047,0.022200,40,
baseline_direct,csv_rfc4180__t20,csv_rfc4180,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1643,761,0.016344,36,
baseline_direct,csv_rfc4180__v0,csv_rfc4180,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2394,922,0.021012,2,
baseline_direct,csv_rfc4180__v1,csv_rfc4180,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2321,982,0.021693,2,
baseline_direct,currency_quantize__t24,currency_quantize,test,0,,,1,1,1,6,2,0,0,DEFECT,1,1696,924,0.018948,42,
baseline_direct,currency_quantize__v11,currency_quantize,test,0,,,1,1,1,6,2,0,0,DEFECT,1,2259,1240,0.025377,2,
baseline_direct,currency_quantize__v12,currency_quantize,test,0,,,1,1,1,4,4,0,0,DEFECT,1,2108,639,0.015909,2,
baseline_direct,discount_stacking__t20,discount_stacking,test,0,,,0,0,1,6,0,1,0,DEFECT,1,2176,1174,0.024138,36,
baseline_direct,discount_stacking__v0,discount_stacking,test,0,,,1,1,1,6,2,0,0,DEFECT,1,2739,945,0.022392,2,
baseline_direct,discount_stacking__v10,discount_stacking,test,0,,,0,1,1,6,3,1,0,DEFECT,1,2824,963,0.022917,37,
baseline_direct,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,1,0,6,3,1,0,DEFECT,1,2791,1076,0.024513,2,
baseline_direct,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,1,0,4,3,1,0,DEFECT,1,3084,1066,0.025242,37,
baseline_direct,full_jitter_backoff__t20,full_jitter_backoff,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1484,1099,0.020937,2,
baseline_direct,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,6,0,0,0,DEFECT,1,1483,1095,0.020874,2,
baseline_direct,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,6,0,0,0,DEFECT,1,1483,1095,0.020874,1,
baseline_direct,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,6,0,0,0,DEFECT,1,1557,1366,0.025161,2,
baseline_direct,full_jitter_backoff__v10,full_jitter_backoff,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2125,1480,0.028575,2,
baseline_direct,full_jitter_backoff__v11,full_jitter_backoff,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1855,1243,0.024210,2,
baseline_direct,full_jitter_backoff__v12,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(0, 1e-300, -1.0, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,1,1,0,6,1,0,0,DEFECT,1,1909,1317,0.025482,2,
baseline_direct,http_range_resolve__t20,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,4,4,0,0,DEFECT,1,2479,1040,0.023037,2,
baseline_direct,http_range_resolve__t21,http_range_resolve,test,0,,,0,1,1,5,4,1,0,DEFECT,1,2332,1130,0.023946,2,
baseline_direct,http_range_resolve__t40,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,4,4,0,0,DEFECT,1,2479,1040,0.023037,2,
baseline_direct,http_range_resolve__v0,http_range_resolve,test,1,"http_range_resolve::resolve_range('bytes= ,0-1', 3)",boundary/off-by-one,1,1,0,6,1,0,0,DEFECT,1,3098,1403,0.030339,2,
baseline_direct,http_range_resolve__v1,http_range_resolve,test,0,,,0,0,1,6,0,1,0,DEFECT,1,2891,920,0.022473,2,
baseline_direct,http_range_resolve__v2,http_range_resolve,test,0,,,1,1,1,6,1,0,0,DEFECT,1,3060,913,0.022875,2,
baseline_direct,iso_week_date__t20,iso_week_date,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1426,1229,0.022713,2,
baseline_direct,iso_week_date__v0,iso_week_date,test,0,,,0,0,1,6,0,1,0,DEFECT,1,2037,1336,0.026151,2,
baseline_direct,iso_week_date__v1,iso_week_date,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2062,895,0.019611,2,
baseline_direct,keyset_paginate__t20,keyset_paginate,test,0,,,1,1,1,6,1,0,0,DEFECT,1,1700,1464,0.027060,2,
baseline_direct,rollout_bucketing__t20,rollout_bucketing,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1536,1030,0.020058,2,
baseline_direct,rollout_bucketing__v0,rollout_bucketing,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2072,1156,0.023556,2,
baseline_direct,rollout_bucketing__v1,rollout_bucketing,test,0,,,0,0,0,6,0,0,0,DEFECT,1,2043,1266,0.025119,2,
baseline_direct,token_bucket__t20,token_bucket,test,0,,,0,0,0,6,0,0,0,DEFECT,1,1855,1413,0.026760,2,
blindspot,allocate_money__t21,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,1,1857,1671,0.030636,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=aca7c3b78829.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,allocate_money__v0,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2513,1536,0.030579,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=5780f1efcf07.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,allocate_money__v1,allocate_money,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2513,1536,0.030579,1,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=5780f1efcf07.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,csv_rfc4180__t20,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,1,1965,1882,0.034125,3,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=a68e00c37425.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,csv_rfc4180__v0,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,2,5599,3504,0.069357,4,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=401dee71fca5.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,csv_rfc4180__v1,csv_rfc4180,test,0,,,0,0,0,0,0,0,0,CLEAN,2,5599,3504,0.069357,4,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=401dee71fca5.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,currency_quantize__t24,currency_quantize,test,0,,,0,0,0,0,0,0,0,CLEAN,1,1938,2024,0.036174,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=3befe2e9337a.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,currency_quantize__v11,currency_quantize,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2469,1566,0.030897,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=ef5ac0859cb4.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,currency_quantize__v12,currency_quantize,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2469,1566,0.030897,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=ef5ac0859cb4.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,discount_stacking__t20,discount_stacking,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2121,2434,0.042873,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=1ca3faec2b8e.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,discount_stacking__v0,discount_stacking,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2679,2459,0.044922,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=75fb780a810c.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,discount_stacking__v10,discount_stacking,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2679,2459,0.044922,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=23dfe6fe685f.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,discount_stacking__v11,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,0,0,0,0,0,0,CLEAN,1,2679,2459,0.044922,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=23dfe6fe685f.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,discount_stacking__v12,discount_stacking,test,1,"discount_stacking::(found by authoritative selftest, not by fuzzing)",arithmetic/rounding,0,0,0,0,0,0,0,CLEAN,1,2679,2459,0.044922,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=23dfe6fe685f.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__t20,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,1,1804,1667,0.030417,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=20d30b161f58.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__t22,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,1,1804,1667,0.030417,1,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=20d30b161f58.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__t42,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,1,1804,1667,0.030417,3,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=20d30b161f58.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__t46,full_jitter_backoff,test,1,"full_jitter_backoff::schedule(2100, 1e-300, 1e+300, <function _make_rand.<locals>.rand >)",algorithm-identity/formula-substitution,0,0,0,0,0,0,0,CLEAN,1,1804,1667,0.030417,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=20d30b161f58.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__v10,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2297,1784,0.033651,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=8f78b5f31e11.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
blindspot,full_jitter_backoff__v11,full_jitter_backoff,test,0,,,0,0,0,0,0,0,0,CLEAN,1,2297,1784,0.033651,2,"CassetteMiss: No cassette for purpose='adversary' model='sonnet' key=bb77093ceca0.
Nothing was recorded for this exact prompt. Either the prompts changed since the cassettes were recorded, or you are running a configuration that was never recorded.
Fix: re-record with `make record` (needs model access), or run a configuration that has cassettes -- see cassettes/MANIFEST.json."
